run_index,task_id,system,scenario,task_family,failure_type,primary_failtax,failtaxes,failure_step,expected_recovery_path,gold_tool,chosen_tool,state_slots,dependency_edges,success,strict_scored_success,repair_scored_success,execution_verified_success,proxy_summary_success,raw_trace_success,raw_execution_success,raw_success,stop_reason,trace_path,tool_calls,user_queries,mean_user_queries,probe_user_queries,repair_user_queries,probe_user_replies,repair_user_replies,interaction_contract_satisfied,repair_interaction_satisfied,reply_usable_rate,target_aligned_patch_rate,effective_patch_rate,post_query_progress_rate,useful_interaction_round_rate,turn_count,expected_turn_count,expected_tool_calls,matched_milestones,total_milestones,milestone_similarity,milestone_coverage,milestone_signal_coverage,execution_verified_success_rate,strict_scored_success_rate,repair_scored_success_rate,proxy_summary_success_rate,raw_trace_success_rate,raw_execution_success_rate,interaction_efficiency,tool_efficiency,turn_efficiency,hallucination_avoidance,state_dependency_score,result_summary_coverage,reference_summary_coverage,primary_category,categories,result_summary_source,used_result_summary,milestone_signal_available,reference_result_summary_available,expected_target_path,observed_target_path,write_target_verified,raw_repair_actions,raw_repair_triggered,raw_total_steps,raw_token_cost,raw_wall_clock_ms,observed_error_type,first_failure_recovered,repair_extra_tool_calls,repair_extra_user_turns,repair_user_clarification,clarification_precision,clarification_recall,unnecessary_question_rate,patch_success_rate,post_answer_retry_count,reuse_pass_index,reused_artifact,reuse_mode,reuse_tier,reuse_selected_asset_id,reuse_selected_match_signature,reuse_source_task_id,reuse_target_family,reuse_source_family,reuse_target_semantic_family,reuse_source_semantic_family,second_run_improvement,budget_violation,budget_violation_reason,recovery_budget_used
1,add_contact_with_name_and_phone_number,a0_baseline,single_user_turn,t0_general,single_user_turn,selection,"[""selection"", ""recovery""]",step_01,rebind_or_switch_then_retry,add_contact,add_contact,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,False,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/001_add_contact_with_name_and_phone_number_a0_baseline.json,1,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,3,3,1,2,2,0.8624601218166525,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,single_tool,"[""single_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,,True,0,0,1,0.0,0,single_user_turn,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_contact_with_name_and_phone_number,a1_recovery,single_user_turn,t0_general,single_user_turn,selection,"[""selection"", ""recovery""]",step_01,rebind_or_switch_then_retry,add_contact,add_contact,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,False,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/001_add_contact_with_name_and_phone_number_a1_recovery.json,1,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,3,3,1,2,2,0.8624601218166525,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,single_tool,"[""single_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,,True,0,0,1,0.0,0,single_user_turn,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_contact_with_name_and_phone_number,a2_planner,single_user_turn,t0_general,single_user_turn,selection,"[""selection"", ""recovery""]",step_01,rebind_or_switch_then_retry,add_contact,add_contact,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,False,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/001_add_contact_with_name_and_phone_number_a2_planner.json,1,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,3,3,1,2,2,0.8624601218166525,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,single_tool,"[""single_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,,True,0,0,1,0.0,0,single_user_turn,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_contact_with_name_and_phone_number,a3_interaction,single_user_turn,t0_general,single_user_turn,selection,"[""selection"", ""recovery""]",step_01,rebind_or_switch_then_retry,add_contact,add_contact,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,False,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/001_add_contact_with_name_and_phone_number_a3_interaction.json,1,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,3,3,1,2,2,0.8624601218166525,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,single_tool,"[""single_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,,True,0,0,1,0.0,0,single_user_turn,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_contact_with_name_and_phone_number,a4_reuse,single_user_turn,t0_general,single_user_turn,selection,"[""selection"", ""recovery""]",step_01,rebind_or_switch_then_retry,add_contact,add_contact,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,False,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/001_add_contact_with_name_and_phone_number_a4_reuse.json,1,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,3,3,1,2,2,0.8624601218166525,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,single_tool,"[""single_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,,True,0,0,1,0.0,0,single_user_turn,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_reminder_content_and_date_and_time,a0_baseline,canonicalization,t2_dynamic_branching,canonicalization,selection,"[""selection"", ""ordering"", ""recovery""]",step_02,rebind_or_switch_then_retry,add_reminder,write_tool,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,True,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/002_add_reminder_content_and_date_and_time_a0_baseline.json,2,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,5,5,2,2,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,canonicalization,"[""canonicalization"", ""multiple_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,outputs/toolsandbox/reports/add_reminder_content_and_date_and_time.txt,True,0,0,2,0.0,0,canonicalization,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_reminder_content_and_date_and_time,a1_recovery,canonicalization,t2_dynamic_branching,canonicalization,selection,"[""selection"", ""ordering"", ""recovery""]",step_02,rebind_or_switch_then_retry,add_reminder,write_tool,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,True,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/002_add_reminder_content_and_date_and_time_a1_recovery.json,2,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,5,5,2,2,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,canonicalization,"[""canonicalization"", ""multiple_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,outputs/toolsandbox/reports/add_reminder_content_and_date_and_time.txt,True,0,0,2,0.0,0,canonicalization,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_reminder_content_and_date_and_time,a2_planner,canonicalization,t2_dynamic_branching,canonicalization,selection,"[""selection"", ""ordering"", ""recovery""]",step_02,rebind_or_switch_then_retry,add_reminder,write_tool,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,True,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/002_add_reminder_content_and_date_and_time_a2_planner.json,2,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,5,5,2,2,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,canonicalization,"[""canonicalization"", ""multiple_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,outputs/toolsandbox/reports/add_reminder_content_and_date_and_time.txt,True,0,0,2,0.0,0,canonicalization,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_reminder_content_and_date_and_time,a3_interaction,canonicalization,t2_dynamic_branching,canonicalization,selection,"[""selection"", ""ordering"", ""recovery""]",step_02,rebind_or_switch_then_retry,add_reminder,write_tool,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,True,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/002_add_reminder_content_and_date_and_time_a3_interaction.json,2,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,5,5,2,2,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,canonicalization,"[""canonicalization"", ""multiple_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,outputs/toolsandbox/reports/add_reminder_content_and_date_and_time.txt,True,0,0,2,0.0,0,canonicalization,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
1,add_reminder_content_and_date_and_time,a4_reuse,canonicalization,t2_dynamic_branching,canonicalization,selection,"[""selection"", ""ordering"", ""recovery""]",step_02,rebind_or_switch_then_retry,add_reminder,write_tool,"[""query"", ""target_path"", ""messages""]","[{""source"": ""step_01"", ""target"": ""step_02"", ""type"": ""state""}]",True,True,False,True,True,True,True,True,success_criteria_satisfied,outputs/paper_final_freeze_20260423/toolsandbox_official_post8249ee1/runs/run_01/traces/002_add_reminder_content_and_date_and_time_a4_reuse.json,2,0,0.0,0,0,0,0,True,False,0.0,0.0,0.0,0.0,0.0,5,5,2,2,2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,canonicalization,"[""canonicalization"", ""multiple_tool"", ""single_user_turn"", ""no_distraction_tools""]",reference_result_summary,True,True,True,,outputs/toolsandbox/reports/add_reminder_content_and_date_and_time.txt,True,0,0,2,0.0,0,canonicalization,False,0,0,False,0.0,0.0,0.0,0.0,0,0,False,none,none,,,,,,,,0.0,False,,0.0
