task_id,system,scenario,success,tool_calls,repair_actions,repair_triggered,user_turns,total_steps,stop_reason,trace_path
tau_retail_train_00001,a0_baseline,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/001_tau_retail_train_00001_a0_baseline.json
tau_retail_train_00001,a1_recovery,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/001_tau_retail_train_00001_a1_recovery.json
tau_retail_train_00001,a2_planner,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/001_tau_retail_train_00001_a2_planner.json
tau_retail_train_00001,a3_interaction,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/001_tau_retail_train_00001_a3_interaction.json
tau_retail_train_00001,a4_reuse,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/001_tau_retail_train_00001_a4_reuse.json
tau_retail_train_00002,a0_baseline,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/002_tau_retail_train_00002_a0_baseline.json
tau_retail_train_00002,a1_recovery,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/002_tau_retail_train_00002_a1_recovery.json
tau_retail_train_00002,a2_planner,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/002_tau_retail_train_00002_a2_planner.json
tau_retail_train_00002,a3_interaction,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/002_tau_retail_train_00002_a3_interaction.json
tau_retail_train_00002,a4_reuse,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/002_tau_retail_train_00002_a4_reuse.json
tau_retail_train_00003,a0_baseline,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/003_tau_retail_train_00003_a0_baseline.json
tau_retail_train_00003,a1_recovery,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/003_tau_retail_train_00003_a1_recovery.json
tau_retail_train_00003,a2_planner,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/003_tau_retail_train_00003_a2_planner.json
tau_retail_train_00003,a3_interaction,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/003_tau_retail_train_00003_a3_interaction.json
tau_retail_train_00003,a4_reuse,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/003_tau_retail_train_00003_a4_reuse.json
tau_retail_train_00004,a0_baseline,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/004_tau_retail_train_00004_a0_baseline.json
tau_retail_train_00004,a1_recovery,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/004_tau_retail_train_00004_a1_recovery.json
tau_retail_train_00004,a2_planner,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/004_tau_retail_train_00004_a2_planner.json
tau_retail_train_00004,a3_interaction,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/004_tau_retail_train_00004_a3_interaction.json
tau_retail_train_00004,a4_reuse,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/004_tau_retail_train_00004_a4_reuse.json
tau_retail_train_00005,a0_baseline,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/005_tau_retail_train_00005_a0_baseline.json
tau_retail_train_00005,a1_recovery,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/005_tau_retail_train_00005_a1_recovery.json
tau_retail_train_00005,a2_planner,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/005_tau_retail_train_00005_a2_planner.json
tau_retail_train_00005,a3_interaction,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/005_tau_retail_train_00005_a3_interaction.json
tau_retail_train_00005,a4_reuse,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/005_tau_retail_train_00005_a4_reuse.json
tau_retail_train_00006,a0_baseline,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/006_tau_retail_train_00006_a0_baseline.json
tau_retail_train_00006,a1_recovery,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/006_tau_retail_train_00006_a1_recovery.json
tau_retail_train_00006,a2_planner,success,True,2,0,0,0,2,success_criteria_satisfied,outputs/tau_bench_full_a0a4/runs/run_01/traces/006_tau_retail_train_00006_a2_planner.json
